retiro,entrega,tamano,opcion_de_entrega,cantidad_de_paquetes,cantidad_de_asistentes,lat_retiro,lng_retiro,lat_entrega,lng_entrega,km,precio
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,1,2,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1393
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,1,3,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2003
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,1,4,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2613
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,1,5,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3223
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,2,0,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,198
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,2,1,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,808
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,2,2,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1418
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,2,3,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2028
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,2,4,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2638
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,2,5,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3248
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,3,0,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,224
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,3,1,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,834
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,3,2,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1444
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,3,3,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2054
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,3,4,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2664
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,3,5,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3274
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,4,0,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,250
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,4,1,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,860
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,4,2,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1470
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,4,3,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2080
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,4,4,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2690
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,4,5,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3300
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,5,0,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,275
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,5,1,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,885
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,5,2,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1495
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,5,3,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2105
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,5,4,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2715
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,5,5,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3325
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,6,0,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,301
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,6,1,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,911
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,6,2,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1521
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,6,3,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2131
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,6,4,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2741
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,6,5,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3351
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,7,0,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,326
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,7,1,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,936
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,7,2,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1546
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,7,3,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2156
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,7,4,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2766
