,retiro,entrega,tamano,opcion_de_entrega,cantidad_de_paquetes,cantidad_de_asistentes,lat_retiro,lng_retiro,lat_entrega,lng_entrega,km,precio
63,"19 de abril 1213, Montevideo Uruguay","Ignacio Barrios, Montevideo, Uruguay",small,express,2,1,-34.8443465,-56.250894,-34.8562398,-56.1393665,10.284634248962037,1253
64,"19 de abril 1213, Montevideo Uruguay","Escalada, Montevideo, Uruguay",small,express,2,1,-34.8443465,-56.250894,-34.8525727,-56.2005685,4.6921788678156,924
65,"19 de abril 1213, Montevideo Uruguay","Fernando Torres, Montevideo, Uruguay",small,express,2,1,-34.8443465,-56.250894,-34.8485567,-56.233298,1.6757105736765148,1088
66,"19 de abril 1213, Montevideo Uruguay","Carlos Reyles, Montevideo, Uruguay",small,express,2,1,-34.8443465,-56.250894,-34.8819445,-56.1812809,7.610266488440625,1033
67,"19 de abril 1213, Montevideo Uruguay","Rizal, Montevideo, Uruguay",small,express,2,1,-34.8443465,-56.250894,-34.9009529,-56.1352843,12.294858266187585,1363
68,"19 de abril 1213, Montevideo Uruguay","Chamizo, Montevideo, Uruguay",small,express,2,1,-34.8443465,-56.250894,-34.8889171,-56.1212496,12.844072122063888,1308
69,"Copacabana 6808, Montevideo Uruguay","Galicia 1224, Montevideo Uruguay",small,express,2,1,-34.8838262,-56.0466473,-34.9002335,-56.1903221,13.258551055626521,1802
70,"Copacabana 6808, Montevideo Uruguay","Doctor Prudencio de Pena, Montevideo Uruguay",small,express,2,1,-34.8838262,-56.0466473,-34.8989865,-56.1578912,10.306798550673912,1528
71,"Copacabana 6808, Montevideo Uruguay","Rambla República de México, Montevideo Uruguay",small,express,2,1,-34.8838262,-56.0466473,-34.8941222,-56.0595102,1.6392722621035334,1528
72,"Copacabana 6808, Montevideo Uruguay","Ricaldoni, Montevideo Uruguay",small,express,2,1,-34.8838262,-56.0466473,-34.8938637,-56.1591115,10.340646262625716,1473
73,"Copacabana 6808, Montevideo Uruguay","Doctor Alberto Zubiría, Montevideo Uruguay",small,express,2,1,-34.8838262,-56.0466473,-34.8434359,-56.1924935,14.068718587282932,1747
74,"Copacabana 6808, Montevideo Uruguay","Adolfo berro, Montevideo Uruguay",small,express,2,1,-34.8838262,-56.0466473,-34.8642481,-56.2077112,14.885037374083263,1747
75,"Copacabana 6808, Montevideo Uruguay","Los Nogales, Montevideo Uruguay",small,express,2,1,-34.8838262,-56.0466473,-34.8029901,-56.1143293,10.896829584136414,2186
76,"Copacabana 6808, Montevideo Uruguay","Paysandú, Montevideo, Uruguay",small,express,2,1,-34.8838262,-56.0466473,-34.901975,-56.1895067,13.212648201124056,1692
77,"Copacabana 6808, Montevideo Uruguay","Himalaya, Montevideo, Uruguay",small,express,2,1,-34.8838262,-56.0466473,-34.8681349,-56.1491542,9.532062890484642,1473
78,"Copacabana 6808, Montevideo Uruguay","Carlos Tellier, Montevideo, Uruguay",small,express,2,1,-34.8838262,-56.0466473,-34.8535167,-56.2452851,18.470838050269016,2022
79,"Copacabana 6808, Montevideo Uruguay","Cooper, Montevideo, Uruguay",small,express,2,1,-34.8838262,-56.0466473,-34.8700236,-56.0694155,2.584113099227259,979
80,"Copacabana 6808, Montevideo Uruguay","Oyarvide, Montevideo, Uruguay",small,express,2,1,-34.8838262,-56.0466473,-34.8542084,-56.1264252,8.000241803318302,1418
81,"Copacabana 6808, Montevideo Uruguay","Avenida Sarmiento, Montevideo, Uruguay",small,express,2,1,-34.8838262,-56.0466473,-34.9153352,-56.1673733,11.574748976737224,918
